Название товара,Цена,Ссылка на товар
Подвес 3х40WхE27 venezuela черн/золот,20 690 ₽,https://obi.ru/products/podves-3h40whe27-venezuela-chern-zolot-5067679
Потолочная люстра LEEK LE 062300-006,15 590 ₽,https://obi.ru/products/potolochnaja-ljustra-leek-le-062300-006-4587150
Люстра FR4166-PL-05C-BL,20 290 ₽,https://obi.ru/products/ljustra-fr4166-pl-05c-bl-5067627
Подвес EGLO 3x40ВтxE27 calmanera 1100х900 мм,20 190 ₽,https://obi.ru/products/podves-eglo-3x40vtxe27-calmanera-1100h900-mm-5001361
Подвес 3х40WхE27 adwickle черн/натур,20 190 ₽,https://obi.ru/products/podves-3h40whe27-adwickle-chern-natur-5067676
Подвесная люстра De City Классик 683012905,17 190 ₽,https://obi.ru/products/podvesnaja-ljustra-de-city-klassik-683012905-4375887
"Подвес BERNABETTA: 9x40W (E27), Ø780, H1500, сталь, текстиль, черный/белый",20 690 ₽,https://obi.ru/products/podves-bernabetta-9x40w-e27-o780-h1500-stal-tekstil-chernyj-belyj-5726391
Подвес 4х40WхE27 chisle черный,19 790 ₽,https://obi.ru/products/podves-4h40whe27-chisle-chernyj-5067683
Подвесная люстра Vitaluce V1794-0/5 белая 5ХE14Х40Вт,15 690 ₽,https://obi.ru/products/podvesnaja-ljustra-vitaluce-v1794-0-5-belaja-5he14h40vt-4142477
"Бра RUSCOMB: 1x10W (E27), L135, H175, A210, сталь, бумага, натуральный",20 690 ₽,https://obi.ru/products/bra-ruscomb-1x10w-e27-l135-h175-a210-stal-bumaga-naturalnyj-5726390
Подвесной светильник EGLO PINTO GOLD 97652,16 890 ₽,https://obi.ru/products/podvesnoj-svetilnik-eglo-pinto-gold-97652-4375382
"Люстра Freya Forte 6хЕ14, никель",18 190 ₽,https://obi.ru/products/ljustra-freya-forte-6he14-nikel-5052437
"Подвес Freya Arellano кухонный 6хЕ14, белый",18 190 ₽,https://obi.ru/products/podves-freya-arellano-kuhonnyj-6he14-belyj-5052445
Потолочная люстра Vitaluce V4598-1/6PL черная 6ХE27Х60Вт,16 090 ₽,https://obi.ru/products/potolochnaja-ljustra-vitaluce-v4598-1-6pl-chernaja-6he27h60vt-4377081
Подвес 3х40WхE27 callow черный,18 390 ₽,https://obi.ru/products/podves-3h40whe27-callow-chernyj-5067677
Потолочная люстра De Markt Бриз 111013306,16 290 ₽,https://obi.ru/products/potolochnaja-ljustra-de-markt-briz-111013306-4579538
Люстра Арман 6х60W E14 220 V золотой,19 990 ₽,https://obi.ru/products/ljustra-arman-6h60w-e14-220-v-zolotoj-5726685
Подвесной светильник FR5206PL-06FG,17 990 ₽,https://obi.ru/products/podvesnoj-svetilnik-fr5206pl-06fg-5067630
Люстра Крайс 38W LED 220 V бронзовый,19 490 ₽,https://obi.ru/products/ljustra-krajs-38w-led-220-v-bronzovyj-5726694
Подвесной светильник FR5189PL-09CH,17 390 ₽,https://obi.ru/products/podvesnoj-svetilnik-fr5189pl-09ch-5067628
Потолочная люстра MW-Light Восторг 242015206,8 649 ₽,https://obi.ru/products/potolochnaja-ljustra-mw-light-vostorg-242015206-3662756
Подвес кухонный EGLO BASILDON 43463,16 390 ₽,https://obi.ru/products/podves-kuhonnyj-eglo-basildon-43463-4803649
Подвесная люстра LEEK LE 062300-001,11 990 ₽,https://obi.ru/products/podvesnaja-ljustra-leek-le-062300-001-4587135
Подвесная люстра De City Аврора 371012208,13 590 ₽,https://obi.ru/products/podvesnaja-ljustra-de-city-avrora-371012208-4100103
Светодиодный светильник Vitaluce V4618-0/6S LEDХ85ВтХ3900-4200К,14 490 ₽,https://obi.ru/products/svetodiodnyj-svetilnik-vitaluce-v4618-0-6s-ledh85vth3900-4200k-4809471
Потолочная люстра De City Блеск 315013008,10 490 ₽,https://obi.ru/products/potolochnaja-ljustra-de-city-blesk-315013008-3873973
Подвесная люстра Arte Lamp MARGO A9317LM-5AB,12 290 ₽,https://obi.ru/products/podvesnaja-ljustra-arte-lamp-margo-a9317lm-5ab-4374658
Люстра FR5184PL-06BS,15 990 ₽,https://obi.ru/products/ljustra-fr5184pl-06bs-5067624
Подвесная люстра Vitaluce V1161/6 коричневая 6ХE14Х40Вт,11 690 ₽,https://obi.ru/products/podvesnaja-ljustra-vitaluce-v1161-6-korichnevaja-6he14h40vt-3756897
Люстра Бриз 9х60W G9 220 V золотой,17 990 ₽,https://obi.ru/products/ljustra-briz-9h60w-g9-220-v-zolotoj-5726687
Люстра Оскар 88W+2W LED 220 V (пульт) золотой,17 990 ₽,https://obi.ru/products/ljustra-oskar-88w-2w-led-220-v-pult-zolotoj-5726704
Люстра pollux 6хE27х40 Вт золото 42х22х42 см,12 290 ₽,https://obi.ru/products/ljustra-pollux-6he27h40-vt-zoloto-42h22h42-sm-5001626
Потолочная люстра De City Олимпия 638014908,13 190 ₽,https://obi.ru/products/potolochnaja-ljustra-de-city-olimpija-638014908-4375705
"Подвес WINKWORTH с регулировкой высоты, 2х40W (E27), черный",15 990 ₽,https://obi.ru/products/podves-winkworth-s-regulirovkoj-vysoty-2h40w-e27-chernyj-5067675
Подвесной светильник FR8014PL-04BS,15 690 ₽,https://obi.ru/products/podvesnoj-svetilnik-fr8014pl-04bs-5067706
Светодиодный светильник Vitaluce V4618-1/6S LEDХ85ВтХ3900-4200К,14 490 ₽,https://obi.ru/products/svetodiodnyj-svetilnik-vitaluce-v4618-1-6s-ledh85vth3900-4200k-4809489
Люстра БРИЗ 5хE27х60 Вт латунь 60х60х56 см,12 790 ₽,https://obi.ru/products/ljustra-briz-5he27h60-vt-latun-60h60h56-sm-5001280
Подвесная люстра De City Бриз 111014205,14 090 ₽,https://obi.ru/products/podvesnaja-ljustra-de-city-briz-111014205-4807145
"Люстра потолочная Rivoli Brittany черный, золото",15 290 ₽,https://obi.ru/products/ljustra-potolochnaja-rivoli-brittany-chernyj-zoloto-5068796
Потолочная люстра Leek BELLA LE062200-008,12 990 ₽,https://obi.ru/products/potolochnaja-ljustra-leek-bella-le062200-008-4376265
"Подвесной MADRESELVA 43546, 3Х28W, E27, L1190, B140, H1100, сталь/дерево/стекло",15 190 ₽,https://obi.ru/products/podvesnoj-madreselva-43546-3h28w-e27-l1190-b140-h1100-stal-derevo-steklo-5066719
Люстра Линген 7х40W E14 220 V хром,16 490 ₽,https://obi.ru/products/ljustra-lingen-7h40w-e14-220-v-hrom-5726696
Подвесная люстра Vitaluce V1667-0/5 белая 5ХE14Х40Вт,11 690 ₽,https://obi.ru/products/podvesnaja-ljustra-vitaluce-v1667-0-5-belaja-5he14h40vt-4096111
Люстра Крайс 30W LED 220 V белая,16 490 ₽,https://obi.ru/products/ljustra-krajs-30w-led-220-v-belaja-5726693
Потолочная люстра De City Грация 677011305,10 390 ₽,https://obi.ru/products/potolochnaja-ljustra-de-city-gracija-677011305-3956448
Люстра БРИЗ 4хE27х60 Вт хром 29х29х42 см,12 490 ₽,https://obi.ru/products/ljustra-briz-4he27h60-vt-hrom-29h29h42-sm-5001279
"Люстра светодиодная V54000DT-0/1S, LED 41Вт 2700-6500К 3440лм 13м² белый",14 990 ₽,https://obi.ru/products/ljustra-svetodiodnaja-v54000dt-0-1s-led-41vt-2700-6500k-3440lm-13m-belyj-5723856
Подвесная люстра Vitaluce V1180/5 белая 5ХE14Х40Вт,10 390 ₽,https://obi.ru/products/podvesnaja-ljustra-vitaluce-v1180-5-belaja-5he14h40vt-3872421
Потолочная люстра De Markt Вита 220012806,11 190 ₽,https://obi.ru/products/potolochnaja-ljustra-de-markt-vita-220012806-4579421
Подвес 4х40WхE27 redcliffe черный,14 790 ₽,https://obi.ru/products/podves-4h40whe27-redcliffe-chernyj-5067684
Подвес кухонный EGLO BASILDON 43462,13 590 ₽,https://obi.ru/products/podves-kuhonnyj-eglo-basildon-43462-4803631
Мачта осветительная аккумуляторная Greenworks 24 В без АКБ и З/У 3503207,14 990 ₽,https://obi.ru/products/machta-osvetitelnaja-akkumuljatornaja-greenworks-24-v-bez-akb-i-z-u-3503207-5715549
Потолочный светильник FR6119CL-L72W,9 949 ₽,https://obi.ru/products/potolochnyj-svetilnik-fr6119cl-l72w-5067901
Торшер EGLO UP 2 82844,7 599 ₽,https://obi.ru/products/torsher-eglo-up-2-82844-2199628
Потолочный светильник EGLO ANWICK 43313,12 190 ₽,https://obi.ru/products/potolochnyj-svetilnik-eglo-anwick-43313-4695540
Потолочная люстра Leek ASTERA LE062200-013,10 990 ₽,https://obi.ru/products/potolochnaja-ljustra-leek-astera-le062200-013-4376273
Потолочная люстра Lumion Wilma 4535/8C,11 390 ₽,https://obi.ru/products/potolochnaja-ljustra-lumion-wilma-4535-8c-4536918
Подвесная люстра Arte Lamp MATRIX A3064SP-12WH,11 490 ₽,https://obi.ru/products/podvesnaja-ljustra-arte-lamp-matrix-a3064sp-12wh-4374807
Подвесной светильник FR5332PL-06BZ,13 890 ₽,https://obi.ru/products/podvesnoj-svetilnik-fr5332pl-06bz-5067903
Люстра FR4166-PL-03C-BL,13 890 ₽,https://obi.ru/products/ljustra-fr4166-pl-03c-bl-5067626
Потолочная люстра Vitaluce V4724-1/8PL черная 8хE27 макс. 60Вт,10 690 ₽,https://obi.ru/products/potolochnaja-ljustra-vitaluce-v4724-1-8pl-chernaja-8he27-maks-60vt-4376950
Свет-к под патрон (люстра) LE CH ARTGLASS E14x8 (1),13 990 ₽,https://obi.ru/products/svet-k-pod-patron-ljustra-le-ch-artglass-e14x8-1-5068906
Подвесная люстра Vitaluce V5179-1/4S черная 4ХE14Х40Вт,10 190 ₽,https://obi.ru/products/podvesnaja-ljustra-vitaluce-v5179-1-4s-chernaja-4he14h40vt-4096178
"Люстра светодиодная V54010-1/1S, LED 31Вт 3900-4200К 2690лм 11м² черный",14 190 ₽,https://obi.ru/products/ljustra-svetodiodnaja-v54010-1-1s-led-31vt-3900-4200k-2690lm-11m-chernyj-5723858
"5603/75CL LEDIO LN23 028 белый, черный Люстра потолочная LED",11 490 ₽,https://obi.ru/products/5603-75cl-ledio-ln23-028-belyj-chernyj-ljustra-potolochnaja-led-5069105
Подвесная люстра Vitaluce V3983-0/5 белая 5ХE14Х40Вт,12 590 ₽,https://obi.ru/products/podvesnaja-ljustra-vitaluce-v3983-0-5-belaja-5he14h40vt-5071314
"Люстра светодиодная V54010-0/1S, LED 31Вт 3900-4200К 2690лм 11м² белый",14 190 ₽,https://obi.ru/products/ljustra-svetodiodnaja-v54010-0-1s-led-31vt-3900-4200k-2690lm-11m-belyj-5723857
Люстра платлинг 50W LED 220 V чёрная,14 990 ₽,https://obi.ru/products/ljustra-platling-50w-led-220-v-chjornaja-5727072
Люстра Платлинг 3х50W LED 220 V чёрная,14 990 ₽,https://obi.ru/products/ljustra-platling-50w-led-220-v-5727071
Потолочная люстра Rivoli Parte 5044-306,12 390 ₽,https://obi.ru/products/potolochnaja-ljustra-rivoli-parte-5044-306-4806220
Подвесной светильник EGLO TOWNSHEND 43132,11 890 ₽,https://obi.ru/products/podvesnoj-svetilnik-eglo-townshend-43132-4579959
Подвесная люстра De City Ариадна 450015405,9 599 ₽,https://obi.ru/products/podvesnaja-ljustra-de-city-ariadna-450015405-3993128
"5603/63CL LEDIO LN23 028 белый, золотой Люстра потолочная LED",11 490 ₽,https://obi.ru/products/5603-63cl-ledio-ln23-028-belyj-zolotoj-ljustra-potolochnaja-led-5069104
"Люстра Freya Avery 6хЕ14, белый",12 790 ₽,https://obi.ru/products/ljustra-freya-avery-6he14-belyj-5052435
5656/90CL LEDIO LN23 серый Люстра потолочная LED 90W 220V EVIN,10 990 ₽,https://obi.ru/products/5656-90cl-ledio-ln23-seryj-ljustra-potolochnaja-led-90w-220v-evin-5068931
Потолочная люстра Vitaluce V4382-0/6PL белая 6ХE27Х60Вт,9 449 ₽,https://obi.ru/products/potolochnaja-ljustra-vitaluce-v4382-0-6pl-belaja-6he27h60vt-4376794
Люстра БРИЗ 4хE27х60 Вт черное золото 71х71х41 см,11 290 ₽,https://obi.ru/products/ljustra-briz-4he27h60-vt-chernoe-zoloto-71h71h41-sm-5001278
"6507/88CL LEDIO LN23 белый, золотой Потолочный светильник LED 88W 220V ATLAS",12 590 ₽,https://obi.ru/products/6507-88cl-ledio-ln23-belyj-zolotoj-potolochnyj-svetilnik-led-88w-220v-atlas-5069103
Подвесной светильник EGLO VISERBELLA 97643,11 890 ₽,https://obi.ru/products/podvesnoj-svetilnik-eglo-viserbella-97643-4807285
Люстра Линген 5х60W E14 220 V хром,14 490 ₽,https://obi.ru/products/ljustra-lingen-5h60w-e14-220-v-hrom-5726695
Потолочный светильник FR5328CL-08B,12 990 ₽,https://obi.ru/products/potolochnyj-svetilnik-fr5328cl-08b-5067907
Подвес 3х40WхE27 chisle черный,12 990 ₽,https://obi.ru/products/podves-3h40whe27-chisle-chernyj-5067678
ЛЮСТРА 1ХLEDХ65ВТ FRODO БЕЛ ПУЛЬТ,12 090 ₽,https://obi.ru/products/ljustra-1hledh65vt-frodo-bel-pult-5070956
Подвесная люстра Vitaluce V4835-1/5 черная 5ХE14Х40Вт,11 490 ₽,https://obi.ru/products/podvesnaja-ljustra-vitaluce-v4835-1-5-chernaja-5he14h40vt-4696100
Датчик движения без нейтрали Etika 250 Вт антрацит,11 290 ₽,https://obi.ru/products/datchik-dvizhenija-bez-nejtrali-etika-250-vt-antracit-4487658
ЛЮСТРА 1ХLEDХ65ВТ FRODO ЧЕРН ПУЛЬТ,11 790 ₽,https://obi.ru/products/ljustra-1hledh65vt-frodo-chern-pult-5070957
"Люстра потолочная Rivoli Marika черный, золото",11 390 ₽,https://obi.ru/products/ljustra-potolochnaja-rivoli-marika-chernyj-zoloto-5068791
Подвесная люстра Vitaluce V4922-1/3S черная 3ХE27Х40Вт,10 890 ₽,https://obi.ru/products/podvesnaja-ljustra-vitaluce-v4922-1-3s-chernaja-3he27h40vt-4809547
Люстра FR5184PL-06CH,12 390 ₽,https://obi.ru/products/ljustra-fr5184pl-06ch-5067625
"Светильник потолочный светодиодный Rivoli Jenny белый 38Х6,5",10 190 ₽,https://obi.ru/products/svetilnik-potolochnyj-svetodiodnyj-rivoli-jenny-belyj-38h6-5-5068813
Люстра Платлинг 40W LED 220 V золотой,13 990 ₽,https://obi.ru/products/ljustra-platling-40w-led-220-v-zolotoj-5727070
Подвесная люстра Vitaluce V3983-1/5 черная 5ХE14Х40Вт,12 590 ₽,https://obi.ru/products/podvesnaja-ljustra-vitaluce-v3983-1-5-chernaja-5he14h40vt-5071315
"Торшер Eglo Egidonella LED 20,5 Вт, черный",11 990 ₽,https://obi.ru/products/torsher-eglo-egidonella-led-20-5-vt-chernyj-5049063
"Потолочная люстра Vitaluce V3232/5PL, 5xE14 макс. 40Вт, плафон ПП",5 699 ₽,https://obi.ru/products/potolochnaja-ljustra-vitaluce-v3232-5pl-5xe14-maks-40vt-plafon-pp-3438868
"6507/80CL LEDIO LN23 белый, синий Потолочный светильник LED 80W 220V ATLAS",12 590 ₽,https://obi.ru/products/6507-80cl-ledio-ln23-belyj-sinij-potolochnyj-svetilnik-led-80w-220v-atlas-5069102
Подвесной светильник FR5333PL-01W,10 990 ₽,https://obi.ru/products/podvesnoj-svetilnik-fr5333pl-01w-5067941
Подвесная люстра De City Ариадна 450018103,7 999 ₽,https://obi.ru/products/podvesnaja-ljustra-de-city-ariadna-450018103-3993136
Люстра ФЛОРА 8хE14х40 Вт состаренная латунь 24х24х72 см,11 290 ₽,https://obi.ru/products/ljustra-flora-8he14h40-vt-sostarennaja-latun-24h24h72-sm-5001300
Люстра Арман 5х60W E14 220 V бронзовый,13 490 ₽,https://obi.ru/products/ljustra-arman-5h60w-e14-220-v-bronzovyj-5726683
"Подвес BLACKWATER 43093, 5х60W (E27), Ø580, H1500, сталь, черный",12 590 ₽,https://obi.ru/products/podves-blackwater-43093-5h60w-e27-o580-h1500-stal-chernyj-5070617
"Подвес SABALETE 98364, 3х40W (E27), Ø465, H1100, сталь",12 590 ₽,https://obi.ru/products/podves-sabalete-98364-3h40w-e27-o465-h1100-stal-5070661
Светильник потолочный светодиодный Rivoli Lydia белый,9 649 ₽,https://obi.ru/products/svetilnik-potolochnyj-svetodiodnyj-rivoli-lydia-belyj-5068812
Подвесной светильник EGLO TROY 3 85978,7 449 ₽,https://obi.ru/products/podvesnoj-svetilnik-eglo-troy-3-85978-3874419
Потолочная люстра De City Моника 372015108,9 549 ₽,https://obi.ru/products/potolochnaja-ljustra-de-city-monika-372015108-4806758
Потолочная люстра De Markt Федерика 684012505,8 499 ₽,https://obi.ru/products/potolochnaja-ljustra-de-markt-federika-684012505-4579561
Светильник под патрон (люстра) Leek LE CH JAZZ G9x5,11 890 ₽,https://obi.ru/products/svetilnik-pod-patron-ljustra-leek-le-ch-jazz-g9x5-5061919
Потолочная люстра De City Оливия 306013805,9 049 ₽,https://obi.ru/products/potolochnaja-ljustra-de-city-olivija-306013805-4375804
Потолочный светильник FR5331CL-06CH,11 890 ₽,https://obi.ru/products/potolochnyj-svetilnik-fr5331cl-06ch-5067904
Потолочный встраиваемый светильник Luminarte Led DLUSWH-DLL5W,389 ₽,https://obi.ru/products/potolochnyj-vstraivaemyj-svetilnik-luminarte-led-dluswh-dll5w-3799525
Люстра Платлинг 40W LED 220 V белая,12 990 ₽,https://obi.ru/products/ljustra-platling-40w-led-220-v-belaja-5727069
"Люстра потолочная Rivoli Elizabeth черный, светлое дерево",11 790 ₽,https://obi.ru/products/ljustra-potolochnaja-rivoli-elizabeth-chernyj-svetloe-derevo-5068795
Подвесная люстра De City Аврора 371010905,7 549 ₽,https://obi.ru/products/podvesnaja-ljustra-de-city-avrora-371010905-3993110
Подвесная люстра Vitaluce V1161-0/6 белая 6ХE14Х40Вт,11 690 ₽,https://obi.ru/products/podvesnaja-ljustra-vitaluce-v1161-0-6-belaja-6he14h40vt-5071316
Подвесной светильник EGLO ESTEPERRA 99273,10 190 ₽,https://obi.ru/products/podvesnoj-svetilnik-eglo-esteperra-99273-4807277
Уличный светильник на солнечной батарее ЭРА ERAKSC60-02 IP65 с датчиком движения,9 649 ₽,https://obi.ru/products/ulichnyj-svetilnik-na-solnechnoj-bataree-jera-eraksc60-02-ip65-s-datchikom-dvizhenija-4818647
Люстра DE CITY 8хE14х60 Вт белая 63х63х70 см,10 690 ₽,https://obi.ru/products/ljustra-de-city-8he14h60-vt-belaja-63h63h70-sm-5001721
Потолочный светильник FR5327CL-08BZ,10 990 ₽,https://obi.ru/products/potolochnyj-svetilnik-fr5327cl-08bz-5067906
Бра EGLO 1x40ВтxE27 staiti1 240х500 мм,10 890 ₽,https://obi.ru/products/bra-eglo-1x40vtxe27-staiti1-240h500-mm-5001341
Люстра Блеск 8х40W E14 220 V,10 790 ₽,https://obi.ru/products/ljustra-blesk-8h40w-e14-220-v-5067623
Светодиодная лампа ЭРА Стандарт GU5.3 6 Вт рефлекторная 480 лм 4000 К,66 ₽,https://obi.ru/products/svetodiodnaja-lampa-jera-standart-gu5-3-6-vt-reflektornaja-480-lm-4000-k-3406766
Люстра Оскар 3X19W+2W LED 220 V (пульт) золотой,12 490 ₽,https://obi.ru/products/ljustra-oskar-3x19w-2w-led-220-v-pult-zolotoj-5726703
Люстра Арман 6х40W E14 220 V хром,12 490 ₽,https://obi.ru/products/ljustra-arman-6h40w-e14-220-v-hrom-5726684
Торшер ELBA 1хE27х60 Вт бронза 38х150х38 см,8 699 ₽,https://obi.ru/products/torsher-elba-1he27h60-vt-bronza-38h150h38-sm-5001678
Свет-к под патрон (люстра) LE CH ELEN G4x6 (1),10 990 ₽,https://obi.ru/products/svet-k-pod-patron-ljustra-le-ch-elen-g4x6-1-5068903
Потолочный светильник FR6083CL-L106WB,9 999 ₽,https://obi.ru/products/potolochnyj-svetilnik-fr6083cl-l106wb-5067713
Подвес 1х60WхE27 embleton 1 черный,11 490 ₽,https://obi.ru/products/podves-1h60whe27-embleton-1-chernyj-5067669
Светильник светодиодный 3019/EL WOODI 72 Вт с ДУ 49 см белый,8 849 ₽,https://obi.ru/products/svetilnik-svetodiodnyj-3019-el-woodi-72-vt-s-du-49-sm-belyj-4606976
Люстра Мадлен 120W LED 220 V,6 499 ₽,https://obi.ru/products/ljustra-madlen-120w-led-220-v-5067631
Спот EGLO VALBIANO 97538,8 799 ₽,https://obi.ru/products/spot-eglo-valbiano-97538-4392882
Светильник уличный Eglo Aloria 93408 черный 1 х 60 Вт,5 599 ₽,https://obi.ru/products/svetilnik-ulichnyj-eglo-aloria-93408-chernyj-1-h-60-vt-3630928
Потолочный светильник FR6119CL-L60W,8 399 ₽,https://obi.ru/products/potolochnyj-svetilnik-fr6119cl-l60w-5067900
Подвесная люстра Vitaluce V3808-7/5 коричневая 5ХE14Х40Вт,8 549 ₽,https://obi.ru/products/podvesnaja-ljustra-vitaluce-v3808-7-5-korichnevaja-5he14h40vt-4376992
Потолочная люстра De City Ариадна 105010505,9 349 ₽,https://obi.ru/products/potolochnaja-ljustra-de-city-ariadna-105010505-4806717
Люстра Каталина 6х60W E14 220 V,10 990 ₽,https://obi.ru/products/ljustra-katalina-6h60w-e14-220-v-5067619
Подвесной светильник 33 Идеи PND.115.05.06.004.DC,8 949 ₽,https://obi.ru/products/podvesnoj-svetilnik-33-idei-pnd-115-05-06-004-dc-4414199
Подвесная люстра SONEX Wilma 4535/5C,6 999 ₽,https://obi.ru/products/podvesnaja-ljustra-sonex-wilma-4535-5c-4536900
Бра 1х40WхE27 matlock черн/серый,11 190 ₽,https://obi.ru/products/bra-1h40whe27-matlock-chern-seryj-5067554
Потолочная люстра Vitaluce V4382-1/6PL черная 6ХE27Х60Вт,8 149 ₽,https://obi.ru/products/potolochnaja-ljustra-vitaluce-v4382-1-6pl-chernaja-6he27h60vt-4376802
Потолочная люстра Vitaluce V4188-0/6PL белая 6ХE27Х40Вт,9 699 ₽,https://obi.ru/products/potolochnaja-ljustra-vitaluce-v4188-0-6pl-belaja-6he27h40vt-5071318
Светильник под патрон (люстра) Leek LE CH ILLUSION Е27x7,10 390 ₽,https://obi.ru/products/svetilnik-pod-patron-ljustra-leek-le-ch-illusion-e27x7-5061918
Потолочный светильник EGLO VISERBELLA 97641,7 499 ₽,https://obi.ru/products/potolochnyj-svetilnik-eglo-viserbella-97641-4807293
Светильник под патрон (люстра) Leek LE CH FIONA Е14x4,9 699 ₽,https://obi.ru/products/svetilnik-pod-patron-ljustra-leek-le-ch-fiona-e14x4-5061917
Люминесцентная лампа OSRAM BASIC G13 Т8 36 Вт 2850 лм 4000 К трубка,109 ₽,https://obi.ru/products/ljuminescentnaja-lampa-osram-basic-g13-t8-36-vt-2850-lm-4000-k-trubka-2451268
Подвесной светильник EGLO TARBES 94189,7 099 ₽,https://obi.ru/products/podvesnoj-svetilnik-eglo-tarbes-94189-4097903
Люстра Норден 48W LED 220 V,11 890 ₽,https://obi.ru/products/ljustra-norden-48w-led-220-v-5729667
Подвесная люстра Vitaluce V4265-1/3S черная 3ХE14Х40Вт,8 599 ₽,https://obi.ru/products/podvesnaja-ljustra-vitaluce-v4265-1-3s-chernaja-3he14h40vt-5071334
Бра EGLO PASTERI 96484,8 399 ₽,https://obi.ru/products/bra-eglo-pasteri-96484-4807319
Люстра Норден 118W LED 220 V (пульт) белая,11 990 ₽,https://obi.ru/products/ljustra-norden-118w-led-220-v-pult-belaja-5726699
Подвес EGLO 1x40ВтxE27 maseta 1100х225 мм,10 390 ₽,https://obi.ru/products/podves-eglo-1x40vtxe27-maseta-1100h225-mm-5001351
Подвесной светильник FR5333PL-03W,9 999 ₽,https://obi.ru/products/podvesnoj-svetilnik-fr5333pl-03w-5067949
Уличный фонарь EGLO RAVELLO 98724 IP44,9 599 ₽,https://obi.ru/products/ulichnyj-fonar-eglo-ravello-98724-ip44-4754263
"Люстра Lumion Geneva 6xE27 40 Вт 47x47x100 см, золотистый",9 999 ₽,https://obi.ru/products/ljustra-lumion-geneva-6xe27-40-vt-47x47x100-sm-zolotistyj-5001768
Подвесная люстра Vitaluce V4750-1/12 черная 12ХE27Х60Вт,7 999 ₽,https://obi.ru/products/podvesnaja-ljustra-vitaluce-v4750-1-12-chernaja-12he27h60vt-4414405
Светодиодная лампа ЭРА Стандарт GU5.3 6 Вт рефлекторная 480 лм 2700 К,66 ₽,https://obi.ru/products/svetodiodnaja-lampa-jera-standart-gu5-3-6-vt-reflektornaja-480-lm-2700-k-3406857
Люстра АЛЬФА 5хE27х60 Вт состаренная латунь 22х22х66 см,10 290 ₽,https://obi.ru/products/ljustra-alfa-5he27h60-vt-sostarennaja-latun-22h22h66-sm-5001276
Потолочная люстра Leek KAILA LE062200-017 5xLED,8 599 ₽,https://obi.ru/products/potolochnaja-ljustra-leek-kaila-le062200-017-5xled-4809968
"Люстра ""Норден"" 138 Вт, LED, 220 В (с пультом)",11 690 ₽,https://obi.ru/products/ljustra-norden-138-vt-led-220-v-s-pultom-5729666
